listing_id,current_locality,resolved_locality,building_name,raw_message_snippet,source,group_name,is_link_only
159106,,Parel,Prerak Sheth,"*🌹SALE-SALE-SALE🌹*

*🌻3&4 BHK OUTRIGHT FLAT🌻*

*🪷RNA REGENCY PARK*
4BHK+POOJA ROOM :-1200+ CRPT
ABOVE 10TH FLOOR
HIGHER FLOOR 
*@3.51CR (WITH PARKING)* 

*🪷RNA REGENCY PARK*
4BHK :-1100+ CRPT
WEST OPE",text_reference_match,Mumbai real estate group1,False
159113,,Bandra West,,"🏡 FOR RENT – SEA BREEZE, MOUNT MARY STEPS, BANDRA WEST

* 2 BHK apartment
* Empty, basic, old-style apartment
* Immediate possession available
* 1 car parking
* Bachelors allowed
* Rent: ₹1,00,000 per",text_reference_match,Bandra Broker Group,False
159125,,Vile Parle West,,"*-------------------------------------*
                     _*07/07/2026*_
*-------------------------------------*
_*1)) S.Fur/Mt office Khar (w)- nr stn- h.flr- Lift- no cp. Att washroom- Area:- 520",text_reference_match,GURUKIRPA REALTORS MUMBAI [24],False
159140,,Bandra West,visits,"*Commercial Misc - Rental*

 *Prestigious Location - *Kemps Corner* - Office / Showroom - Usable *4000 sq ft - Columnless 14 feet Ceiling Height - 3 Owner CP + Visitor CP - Plug n play  - Gym / Spa /",text_reference_match,Exclusive Real Estate (Ziyaul),False
159230,,Sion,,"Dear Associates,


Residential - Outright

*SOBO - Golden Triangle*- *New Listings added*


*Altimo* - Altamount Rd - 3 BHK SR/ST-  2050 Sq Ft - Pvt Lobby - Open Sea Views *26 Cr* (+1)


*Arkade Rise*",text_reference_match,Exclusive Real Estate (Ziyaul),False
159241,,Parel,,"*2️⃣BHK  2️⃣BHK  2️⃣BHK*

*🪬 RNA ROYALE PARK 100% MONOPOLY*
2BHK :-900+ USABEL CRPT 
*LOWER FLOOR*
*HIGHER FLOOR WEST OPEN*
MULTIPLE OPTIONS AVAILABLE 
*@2.31CR ONWARDS* 
*MULTIPLE OPTIONS AVAILABLE*",text_reference_match,Mumbai real estate group1,False
159254,Lokhandwala,Andheri West,,"*🌟 Exclusively Furnished Rental Deal🌟* 

♦️ *Royal Accord*
🔹 Lokhandwala Circle
▪️ *3 BHK Apartment* 
▪️ *1600+ SQFT Carpet*
‼️ 4 Converted to 3 BHK
▪️ 4 washrooms
▪️🚙 2 Car Parks

‼️ Multiple Options",text_reference_match,Lukesh Bandra Grp 1,False
159283,,Thane West,,"Rental Inventory :

*1 Bhk*

Cosmos Park
Waghbil 
Semi furnished 
20k/70k
(Only family)

Green Acre
Waghbil 
Semi furnished 
20k/70K
(Only family)

Cosmos Lily
Kasarwadavli 
Furnished 
27K/1 lacs

*2",text_reference_match,KING'S OF REALTY THANE (3),False
159355,Kandivali,Kandivali West,,"*🏢24 CARAT PRIME SQUARE🏢*
🛣️ *KANDIVALI WEST* 🛣️

*OFFICE ON RENT*

👉 420 carpet
👉 1 car parking 
👉 Higher Floor
👉 West Open
👉 Possession 15th May
👉 175 psf neg/ 6 months deposit 

🏢 *21 BUSINESS ELIT",text_reference_match,Mumbai real estate group1,False
159442,Cuffe Parade,Sion,,"Dear Associates 


*Residential Outright*

*Cuffe Parade / Colaba / Churchgate*- *New Listings added*


*Waterfront towers* Near Colaba PO - Higher floor 3000 sq ft - Bare Shell

One flat per floor -3",text_reference_match,Exclusive Real Estate (Ziyaul),False
159465,Andheri West,Andheri East,,"Available Commercial office space 
Location MIDC Andheri East 
*Lodha Supremus*
East West facing
Office use
Carpet 790
1 pantry 
1 conference room (6 sitting)
16 work stations
2cubical work place 
1 B",text_reference_match,LAXMI PROPERTIES (Western),False
159752,Bandra,Sion,,"🏘️ *Residential cum Commercial Space*
*For Rent with Private Terrace*
Location: *Opp Bandra Medical*
 *Hill Rd Bandra W*
*Bldg Name - Call*

Type *1 BHK + 2 washrooms*
*Area - 500 Sq.ft Indoor Carpet*",text_reference_match,MUMBAI GROUP 1,False
159754,Malad West,Malad East,pathanvadi malad east,"Available on rent 3 BHK
At sheetal tapovan building pathanvadi malad east 
Empty flat with geyser,fan tube light.
Rent -70000
Deposit 2 lakh 
`*Not for company gest house.`*
Bachelors and family ok
Ab",text_reference_match,Real Estate Giants (24×7),False
159769,Lokhandwala,Andheri West,,"Available Rental 2 BHK empty at Sterling Tower in Lokhandwala market. 
Flat has a beautiful kitchen cabinets,  great Bathrooms fittings, flooring and all. Spacious, airy and brilliant place. 
Quote 1",text_reference_match,South Mumbai commercial only,False
159831,Ghatkopar,Sion,,"*AVAILABLE SEMI FURNISHED 2 BHK FLAT FOR OUTRIGHT* at Ghatkopar East, Vallabh Baugh Extension, Off 90 Feet Road. 
💰 *Area: 625 sqft carpet* 
💰 *Sell Price: 1.81 CR Negotiable* 

👉 Spacious Flat.....
-",text_reference_match,GURUKIRPA REALTORS MUMBAI [24],False
159881,BKC,Bandra East,,"Premium Office Space Available for Lease – BKC
📍 Location: The Metropolitan, Bandra Kurla Complex (BKC), Bandra East
🏢 Landmark: Near Audit Bhavan | Walking distance from BKC Metro Station 
🔹 Carpet A",text_reference_match,Mumbai real estate group1,False
159897,Powai,Andheri East,,"Urgent requirement.

1 bhk FF 
Budget 55k
Single female 
Possession immediate 

Location : Marol sakinaka 
Chandivali powai.

If you have direct inventory please let me know 

Khan sarfaraz 
PH : 9321",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
159929,,Sion,*Hill Spring,"*Rental Inventories…*
———————————————
🏢*1Bhk Flat on Rent*
———————————————
🔔*Vijay Garden, 25k*
—-Fully Furnished 
—-Possession 15 july
—-family or working Bacelors 
———————————————
🏢*1.5Bhk Flat on R",text_reference_match,KING'S OF REALTY THANE (3),False
159936,Bandra BKC,Bandra East,,*🙏☺️DEAR ASSOCIATES URGENTLY WANT TO LEASE OUT THE COMMERCIAL PROPERTY PRIME LOCATION IN BKC BANDRA EAST CLOSE TO JIO WORLD 1050 SQFT CRPT UNTOUCH FLAT WITH  (1) CAR PARKING OWNER ASKING RENT 2LAC NEG,text_reference_match,⚜️𝐁𝐀𝐍𝐃𝐑𝐀 𝐋𝐔𝐗𝐄,False
159962,,Bandra West,INSPECTION:* Available with prior call,"*VERY URGENT SALE - 2 BHK KHAR WEST*

Building: Aum Artha
Location: 18th Road, Khar West - PRIME LOCATION
Configuration: 2 BHK
Carpet Area: 748 RERA Carpet
Floor: Lower Floor 
Parking: 1 Car Parking A",text_reference_match,Bandra Broker Group,False
159999,Ghatkopar,Sion,,"🏬 *Available Furnished 1 BHK Flat for Sale In Ghatkopar East, Off 90 Feet Road, Vallabh Baugh Lane Extension* 🏢

🧮 Area - 425 sqft 
💰 Sell Price - *1.25 Cr*  Negotiable 

👉 Furnished Flat 
👉 Middle Fl",text_reference_match,GURUKIRPA REALTORS MUMBAI [24],False
160103,Ghatkopar,Sion,Good well maintained society & Building,"🏡 *Available Semi Furnished 1.5 BHK Flat for RENT* in Ghatkopar East, Prime Location Near Rajawadi Colony, Behind Oghadbhai Lane 🏬

⛩️ Area: 600+ sqft carpet 
💰 Rent : ₹ 45K  

🏢 Ground Floor 
👫 Only",text_reference_match,GURUKIRPA REALTORS MUMBAI [24],False
160185,,Juhu,,"*Avaliable  Paying Guest*& Flat Sharing For Girl's 

: Flat Sharing Double occupancy one room two girls 
4 opstions available khar west 
Rent 22k per had 

:Paying Guest single room for Girl juhu tara",text_reference_match,Amigo Rental Properties Group,False
160253,Vashi,Andheri East,Cold Storage,"## 🏭 *WAREHOUSE / INDUSTRIAL SPACES FOR RENT*

📍 *Vashi Sector 19*
🔹 5000 Sq.Ft. Basement | 18 Ft. Height
💰 *Rent:* ₹3.00 Lakh

📍 *Taloja MIDC*
🔹 14,400 Sq.Ft. Warehouse
💰 *Rent:* ₹4.35 Lakh

📍 *Nadha",text_reference_match,Mumbai real estate group1,False
160273,,Santacruz West,,"*Direct Outright Sale 2,3,4bhk* 

*Hill View* *16th Road bandra*
*940 sqft* *3bhk* *@70k per sqft* *2 Car parking* *Possession August 2026*

*Summer Queen , 15th Road Bandra West ,  2bhk 832 sqft @ Rs",text_reference_match,NB | BANDRA - JUHU | VILEPARLE DIRECT PROPERTIES,False
160367,Bandra West,Sion,,"*Commercial Office Space For Rental & Outright*

*Shalimar*
Location : bandra West* next to lucky hotel 
Condition : *Semi / Unfurnsihed*
Carpet : 587sqft + 90 ft terrace 
Rent : *200000 Lac Negotiabl",text_reference_match,SH - Khar-Bandra-Sant-Juhu Property,False
160368,Santacruz,Bandra West,,"*🔖 GURUKIRPA REALTORS MUMBAI | RESIDENTIAL RENTAL LISTING*

━━━━━━━━━━━━━━━

📮 2 BHK

▫️ Project: TULIP
▫️ Location: 16th Road
▫️ Lower Floor
▫️ Semi Furnished
▫️ No Fixed Car Park
▫️ Rent: ₹1.20 Lakh",text_reference_match,⚜️𝐁𝐀𝐍𝐃𝐑𝐀 𝐋𝐔𝐗𝐄,False
160423,,Bandra West,,"*3BHK Available for Lease* 

*Mangal Varsha*
New Building 2 flats
Empty flat / Rent 2.50
SantaCruz west 

*Neelam Apt* 
Mount Marry  bandra W
Fully furnished
Rent : 3,70,000 / - Rent 

*Royal Manor Ap",text_reference_match,Only bandra Khar santaruz,False
160432,Bandra,Sion,,"*Available 3 bhk for lease in bandra *Mount marry* road *Partial sea view*

Building name *on call*
 Condition -Fully furnished/ semi furnished  
Brokerage 15 Days 
*No pets*
 
*Possession immediate*",text_reference_match,Resi Lease Only Khar/Bandra/S'cruz,False
160442,Santacruz West,Juhu,Empty Flat,"*2BHK available for Lease*

*Mangal Varsha*
New building 
Empty flat
SantaCruz west
Rent 1.75 lakh

*Rustomjee Paramount*
At khar west 
Empty , One parking 
Rent - 2,25,000

*Bluemoon* 
newly done-up",text_reference_match,THC,False
160444,Goregaon,Goregaon East,"*Preferred Location-* Gokuldham, Goregaon East","✨ *RD BROTHERS PROPERTIES LLP* ✨

*URGENT REQUIREMENT OF PROPERTY FOR PURCHASE*

🏡 *Configuration:* 1 BHK
💰 *Budget:*  1 Cr
📍 *Preferred Location-* Gokuldham, Goregaon East
🏗️ *Possesion: Immediate*",text_reference_match,LAXMI PROPERTIES (Western),False
160556,Bandra,Sion,Ajay K Mulchandani,"Expat 3.5 BHK on L&L
with Balconies & 2-C.P
#202 Casa de Rosa 
Bandra W, Dominic Rd
F/F + W.G + Gym
ask- 3.75L + 6mth Dep
Ready possession..
No pets please 
deal SBS only ..
————————————
Ajay K Mulcha",text_reference_match,Lukesh Bandra Grp 1,False
160635,Lokhandwala,Andheri West,,"Crystal avenue
Lokhandwala andheri west
Price 5.49 cr
Sqft 1470
Vastu complaint East facing
Luxurious apartment with a private terrace attached to the living room.
Klassic Consultancy 
Rakhi notani 
8",text_reference_match,LAXMI PROPERTIES (Western),False
160636,,Vashi,Koparkhairane Sector 11* –,"🏠 *RESIDENTIAL PROPERTIES – SALE & RENT* 🏠

### 🔹 *PROPERTIES FOR SALE*

📍 *1 RK – Vashi Sector 16* – ₹1.10 Cr

📍 *1 BHK – Vashi Sector 26* (Private Building with Lift) – ₹75 Lakh

📍 *1 BHK – Vashi Se",text_reference_match,Mumbai real estate group1,False
160751,,Vile Parle West,,"*REPEAT* 

PARLE EAST FLAT 
ON RENT/SELL

2.5 BHK semi furnished 
Nandapatker Road 
Veg.non.veg family only 
Appox. 1000 Usable Carpet
Rent.Rs.95000/-  
Sell.Rs.3.75/- Cr 
Negotiable 

Brokerage SBS",text_reference_match,🌻ANDHERI JUHU GROUP 🌻,False
160769,Juhu,Sion,Client profile is required before scheduling a site visit.,"🏡 JUST LISTED | PREMIUM 4 BHK ON RENT – JUHU ✨

Looking for a spacious luxury home in Juhu? This exclusive residence is ready for immediate possession.

📍 Near Haveli Temple, Juhu
🛏 4 BHK + Balcony +",text_reference_match,LAXMI PROPERTIES (Western),False
160788,Juhu,Andheri West,,"Available 1bhk uf flat with 1 sofa 
Location Andheri west next to azad nagar metro station 
Old building well maintain main road facing 
Flat on 1st floor 
Video available 
Bachlores muslims living  c",text_reference_match,WhatsApp Group 8203,False
160873,Juhu,Vile Parle West,Juhu/vile-parle,"*_REQUIRED 1BHK ON RENT_* 

📍 *JUHU/VILE-PARLE* 

Budget : *50K* 💸

📌For female bachelors 
Possession : ASAP

 *_Western Property Consultants_* 
📲 *Aliya 8169434172/7039323441*",text_reference_match,LAXMI PROPERTIES (Western),False
160878,,Juhu,,"Available 3bhk 
Juhu versova link road 
high floor  
Asking rent 2.6 lakh 
1 sofa / 4 chairs, 
2 top end 1.5 and 2 ton Split unit  1 LG wimdow unit 
2 geyzers 
1 top end 380 L samsung 5 yr fridge 
Sup",text_reference_match,LAXMI PROPERTIES (Western),False
160909,,Sion,,"Available for rent
3BHK Fully Furnished Flat near Apna Bazar
Dn nagar metro station including White Goods and 3 attached washrooms)
Workings bachelors and students allowed 
Rent - 1.35 lacs pm negotia",text_reference_match,LAXMI PROPERTIES (Western),False
160933,,Vile Parle West,,"*REQUIREMENT*

❇️ *1.5 BHK / 2 BHK / 3 BHK Rental Requirement for Girl Students* 
 
👉 NMIMS Students (Girls)
👉 *1.5 BHK or 2BHK Budget :* Around INR 60k-70k
👉 *3 BHK Budget :* Around INR 90k
👉 Locatio",text_reference_match,LAXMI PROPERTIES (Western),False
160964,Borivali,Borivali West,"Location: Chandavarkar Road, Borivali West","1 BHK On Rent – Borivali West  
📍 Location: Chandavarkar Road, Borivali West
Higher floor 
 Only modular kitchen 
💰 Rent: ₹38k 
💵 Deposit: ₹1,25k 
For more details or site visit, please contact:
Shakt",text_reference_match,LAXMI PROPERTIES (Western),False
160988,,Worli,,"*🌸👉V.V Urg. Req.2bhk for Rent*

*Location: Prabhadevi,Worli*

*🌸👉Budget:1.50 lakh*

*Immediate deal*


*Thank You🙏🏻*

*Best Regards*
*Renu Vaishya*
*Shah Real Estate*
*Cont :+91 8291647679/9819279659*",text_reference_match,Bandra Broker Group,False
161049,Borivali,Borivali West,,"2 BHK sale 
Location Shimpoli kastur Park 
Borivali West 
New building 
Higher floor 
Price - 2.95 cr.nego

Carpet - 761
Parking available 
✓OC 
 
 Shakti Property 
 Aniket vanne 
 8605269567",text_reference_match,LAXMI PROPERTIES (Western),False
161061,,Sion,,"1 Bhk RENT 33k neg 
 Deposit 1.25k 
Location  Swami 
Vivekanand School. Gorai. 

  Possession. 1 July 

 Veg non veg allowed 

 Higher floor.   14/16

  Shakti property 
  Aniket vanne 
  8605269567",text_reference_match,LAXMI PROPERTIES (Western),False
161084,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161099,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161109,Bandra,Khar West,,"Urgently required *4bhk* for outright 

*Hindu client*
Need minimum 2000 carpet 
Location- Bandra/Khar West only 
Budget- 13cr to 14cr

Please share your direct listings asap

Amit
9820854590
The Prop",text_reference_match,PROPERTY GROUP K/B/S,False
161110,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161121,Bandra,Bandra West,,"🏡 *EXCLUSIVE RENTAL OPPORTUNITY*

✨ *2 Premium 4 BHK Residences Available*

📍 Location: Bandstand, Bandra (West)
📐 Carpet Area: 1,800 Sq. Ft. each
💰 Rent: 7 Lac

*Property Highlights:*
✔️ Spacious 4 B",text_reference_match,VENUS REAL ESTATE  🏘,False
161124,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161139,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161155,Bandra West,Khar West,,"REQUIREMENTS

1. 2 BHK
📍 Bandra West / Khar West
🏠 Fully Furnished
💰 Budget: Up to ₹2.50 Lakhs/month
➕ +1 Client
✅ Direct Listings Only

2. 1 BHK
📍 Bandra West / Khar West / Santacruz West
🏠 Furnished",text_reference_match,General,False
161170,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161177,Bandra,Khar West,,"Urgently required *shop* for lease 

*For well-known sweet brand*
Required between 400-500 carpet 
Bandra-Khar west only 
Induction based
*Budget - As per market*

Please share your listings 

Amit
98",text_reference_match,GURUKIRPA REALTORS MUMBAI [24],False
161186,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161196,Andheri,Andheri West,,"🕉️🏠*_RENTAL 2 & 3BHK ANDHERI WEST_*

🏡*_3BHK 🏠_*
➡️*_SAMARTHA AAGAN F/F 1.75 / 4 MONTH'_*
➡️*_BEVERLY HILLS F/F 160 / 4 MONTH'_*
*_2 OPTION_*
➡️*_OBEROI SPRINGS F/F  1.80/ 4 MONTH_*

🏡*_2BHK 🏠_* 
➡️*_",text_reference_match,DEEPAK CHAUDHARI ☑️Andheri west only,False
161218,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161231,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161261,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161316,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161343,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161368,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161390,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161402,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161411,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161420,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161429,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161437,Andheri East,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161447,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161454,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161461,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161486,,Khar West,,"*⚜️DIRECT RENTAL INVENTORY⚜️*


*🏠AVAILABLE FOR RENTAL🏠*

*FLAT* - 2 BHK UNFURNISHED 
*FLOOR*- 1 FLOOR 
*ADDRESSED*- SHEELA SMRUTI TEJPAL SCHEME RD VILE PARLE EAST 
*POSSESSION* - IMMEDIATELY 
U  *BAC",text_reference_match,Shree Ganesh Real Estate  नवी मुंबई गुप,False
161668,,Andheri West,,"*New Listing*‼️

*2bhk for Rent in Lokhandwala Complex, Andheri West*

*Rent - 1.15L*
*Deposit - 3L*
*Fully Furnished with Electronics*
Very well done up
Well maintained Tower, Higher Floor


Yash - 9",text_reference_match,Real Estate Giants (24×7),False
161878,,Santacruz West,**Preferred Locations,"🚨 **VERY URGENT REQUIREMENT** 🚨

🏡 **Looking for a 1BHK or 2BHK on Rent**

👩 **Tenant:** Single Working Girl

📍 **Preferred Locations:**
• Bandra
• Khar
• Santacruz West

🛋️ **Requirement:** Semi-Furn",text_reference_match,Bandra Broker Group,False
161967,Khar,Sion,,"*Immediate Deal*
Required 2bhk on Rent,
*Pure Vegetarian Hindu Family*
Khar to Juhu,
Budget : 1.2 lacs,
*Finalizing today coming at 11 am*
Immediate Possession.
Dm your direct/ indirect listings 

Dar",text_reference_match,⚜️𝐁𝐀𝐍𝐃𝐑𝐀 𝐋𝐔𝐗𝐄,False
162015,Bandra West,Khar West,,"*Small Commercial Units on Rent*
1) Office 150 sqft carpet 
Unfurnished 
Attached Washroom 
Khar West 
Rent : 30k + Deposit 
Negotiable 

2) Office 300 sqft carpet  
Unfurnished 
Common Washroom 
Khar",text_reference_match,Lukesh Bandra Grp 1,False
162081,Andheri West,Sion,,"15 rooms hotel on lease available in Andheri w 
Opp  kokilabahan hospital 
Ready possesion 
Asking rent 8 lk deposit 60 lk 
Klassic Consultancy 
Rakhi notani
8080004444",text_reference_match,LAXMI PROPERTIES (Western),False
162137,,Sion,Vincent,"💥 *JAK Homes Rental Flats*

📌*_____1.5 BHK__________*

> *Green Square* - 27K
Fully Furnished 
*Possession - Immediate*


📌*_____2 BHK___________*

> *Pushpanjali Residency Phase 3* - 25K
Unfurnished",text_reference_match,KING'S OF REALTY THANE (3),False
